,level_0,index,solar_rad,wind_speed_hi_last_2_min,temp,Day of year,Hour,decl,omega,tetha,zenit,IRR,P_mpp
0,0,2022-09-30 10:00:00,382.461,1.1613531,14.249588,273,10,-3.8178244534082153,-30,0.5274292104424061,0.5433971362843748,579.151687176287,253.4967797126029
1,1,2022-09-30 10:15:00,228.72658,0.688192,15.576681,273,10,-3.8178244534082153,-30,0.5274292104424061,0.5433971362843748,346.3552726118931,154.7897971867086
2,2,2022-09-30 10:30:00,43.97947,0.58037543,16.22468,273,10,-3.8178244534082153,-30,0.5274292104424061,0.5433971362843748,66.59707510928206,30.65817550440964
3,3,2022-09-30 10:45:00,0.0,1.773968,15.899266,273,10,-3.8178244534082153,-30,0.5274292104424061,0.5433971362843748,0.0,0.0
4,4,2022-09-30 11:00:00,0.0,0.87237704,13.8104515,273,11,-3.8178244534082153,-15,0.2699649341834826,0.30007799968465526,0.0,0.0
5,5,2022-09-30 11:15:00,0.0,0.43675005,14.755788,273,11,-3.8178244534082153,-15,0.2699649341834826,0.30007799968465526,0.0,0.0
6,6,2022-09-30 11:30:00,69.33222,0.32264882,15.237834,273,11,-3.8178244534082153,-15,0.2699649341834826,0.30007799968465526,104.9200560732956,48.24593641114533
7,7,2022-09-30 11:45:00,241.35252,1.4834324,15.06954,273,11,-3.8178244534082153,-15,0.2699649341834826,0.30007799968465526,365.2373976481708,163.45267489532995
8,8,2022-09-30 12:00:00,312.9913,0.5723054,13.693526,273,12,-3.8178244534082153,0,0.06667543508631872,0.14708822403723432,473.55722479079185,209.85079375867787
9,9,2022-09-30 12:15:00,397.5323,0.17663884,13.932215,273,12,-3.8178244534082153,0,0.06667543508631872,0.14708822403723432,601.4681091189578,261.89121568297094
10,10,2022-09-30 12:30:00,364.8279,0.30746633,14.416997,273,12,-3.8178244534082153,0,0.06667543508631872,0.14708822403723432,551.9862432703906,241.49244460726888
11,11,2022-09-30 12:45:00,332.75827,1.279979,14.162695,273,12,-3.8178244534082153,0,0.06667543508631872,0.14708822403723432,503.46473444630425,222.44174169440822
